Label	Slice	CSA	X_cent._(_)	Y_cent._(_)	wX_cent._(_)	wY_cent._(_)	Theta_(rad)	R1_(_)	R2_(_)	Imin_(_^4)	Imax_(_^4)	Ipm_(_^4)	Zmax_(_A^3)	Zmin_(_A^3)	Zpol_(_A^3)	Feret_Min_(_)	Feret_Max_(_)	Feret_Angle_(rad)	Perimeter_(_)	Max_Thick_2D_(_)	Mean_Thick_2D_(_)	SD_Thick_2D_(_)
Aligned_pair2_d	49	0.081	0.283	0.317	0.283	0.317	1.534	0.136	0.206	3.60E-04	8.22E-04	0.013	0.004	0.003	0.006	0.294	0.447	1.406	1.156	0	0	0
Aligned_pair2_d	50	0.089	0.278	0.31	0.278	0.31	-1.404	0.138	0.212	4.08E-04	0.001	0.014	0.005	0.003	0.007	0.294	0.465	1.249	1.208	0.331	0.32	0.045
Aligned_pair2_d	51	0.093	0.269	0.317	0.269	0.317	1.543	0.135	0.233	4.79E-04	0.001	0.016	0.005	0.004	0.007	0.294	0.5	1.272	1.437	0.478	0.435	0.094
Aligned_pair2_d	52	0.095	0.268	0.307	0.268	0.307	1.311	0.159	0.233	5.44E-04	0.001	0.015	0.005	0.003	0.007	0.331	0.483	1.418	1.373	0.294	0.268	0.062
Aligned_pair2_d	53	0.095	0.258	0.32	0.258	0.32	1.463	0.136	0.204	4.81E-04	0.001	0.016	0.006	0.004	0.008	0.296	0.455	1.326	1.251	0	0	0
Aligned_pair2_d	54	0.089	0.272	0.327	0.272	0.327	1.43	0.135	0.191	4.62E-04	9.68E-04	0.015	0.005	0.003	0.007	0.294	0.444	1.144	1.333	0.265	0.25	0.038
Aligned_pair2_d	55	0.096	0.272	0.332	0.272	0.332	-1.551	0.162	0.22	5.45E-04	0.001	0.016	0.005	0.003	0.007	0.331	0.455	1.816	1.281	0	NaN	NaN
Aligned_pair2_d	56	0.09	0.274	0.337	0.274	0.337	-1.55	0.164	0.215	5.18E-04	8.96E-04	0.015	0.004	0.003	0.007	0.331	0.455	1.326	1.177	0.588	0.515	0.16
Aligned_pair2_d	57	0.092	0.279	0.327	0.279	0.327	-1.426	0.161	0.188	5.76E-04	8.35E-04	0.015	0.004	0.004	0.007	0.348	0.411	1.751	1.186	0	0	0
Aligned_pair2_d	58	0.095	0.269	0.325	0.269	0.325	1.43	0.158	0.191	5.69E-04	9.74E-04	0.015	0.005	0.004	0.008	0.331	0.43	1.92	1.312	0.478	0.435	0.094
Aligned_pair2_d	59	0.1	0.27	0.312	0.27	0.312	1.47	0.157	0.2	6.23E-04	0.001	0.016	0.005	0.004	0.008	0.331	0.455	1.326	1.251	0	NaN	NaN
Aligned_pair2_d	60	0.088	0.267	0.319	0.267	0.319	1.392	0.146	0.197	4.60E-04	8.77E-04	0.014	0.004	0.003	0.007	0.294	0.43	1.92	1.156	0.232	0.219	0.036
Aligned_pair2_d	61	0.082	0.284	0.335	0.284	0.335	1.526	0.135	0.215	3.82E-04	8.30E-04	0.014	0.004	0.003	0.006	0.294	0.447	1.406	1.156	0	0	0
Aligned_pair2_d	62	0.09	0.297	0.333	0.297	0.333	-1.417	0.142	0.221	4.84E-04	9.59E-04	0.015	0.004	0.003	0.007	0.294	0.455	1.326	1.229	0.367	0.335	0.076
Aligned_pair2_d	63	0.081	0.292	0.334	0.292	0.334	1.544	0.15	0.188	4.17E-04	7.14E-04	0.013	0.004	0.003	0.006	0.294	0.411	1.751	1.104	0.367	0.335	0.076
Aligned_pair2_d	64	0.08	0.292	0.333	0.292	0.333	1.554	0.149	0.217	3.57E-04	8.07E-04	0.013	0.004	0.002	0.005	0.294	0.447	1.406	1.186	0.232	0.21	0.035
Aligned_pair2_d	65	0.077	0.277	0.342	0.277	0.342	1.541	0.127	0.208	2.90E-04	8.44E-04	0.013	0.004	0.002	0.005	0.257	0.447	1.406	1.156	0	0	0
Aligned_pair2_d	66	0.068	0.27	0.338	0.27	0.338	1.424	0.12	0.191	2.26E-04	6.23E-04	0.011	0.003	0.002	0.004	0.257	0.411	1.751	1.052	0.232	0.219	0.036
Aligned_pair2_d	67	0.072	0.264	0.344	0.264	0.344	1.37	0.127	0.194	2.81E-04	6.55E-04	0.011	0.003	0.002	0.005	0.279	0.411	1.751	1.104	0.232	0.219	0.036
Aligned_pair2_d	68	0.085	0.268	0.339	0.268	0.339	1.539	0.136	0.212	4.10E-04	8.72E-04	0.014	0.004	0.003	0.006	0.294	0.447	1.406	1.156	0.367	0.336	0.075
Aligned_pair2_d	69	0.082	0.264	0.349	0.264	0.349	1.38	0.141	0.17	4.51E-04	6.95E-04	0.013	0.004	0.003	0.007	0.321	0.384	1.862	1.134	0	0	0
Aligned_pair2_d	70	0.076	0.268	0.358	0.268	0.358	1.318	0.155	0.158	4.20E-04	5.32E-04	0.012	0.003	0.003	0.006	0.323	0.364	2.356	1.073	0.265	0.252	0.042
Aligned_pair2_d	71	0.069	0.275	0.357	0.275	0.357	1.006	0.123	0.165	3.08E-04	4.97E-04	0.008	0.003	0.003	0.005	0.285	0.364	2.356	0.97	0.367	0.336	0.075
Aligned_pair2_d	72	0.072	0.275	0.367	0.275	0.367	1.074	0.133	0.172	3.47E-04	5.34E-04	0.009	0.003	0.003	0.005	0.294	0.367	2.214	1.082	0	NaN	NaN
Aligned_pair2_d	73	0.081	0.284	0.355	0.284	0.355	1.128	0.152	0.166	4.68E-04	6.32E-04	0.011	0.004	0.003	0.006	0.329	0.378	2.634	1.156	0	0	0
Aligned_pair2_d	74	0.074	0.279	0.372	0.279	0.372	1.522	0.166	0.176	4.05E-04	5.73E-04	0.012	0.003	0.002	0.005	0.321	0.391	0.719	1.238	0.367	0.336	0.075
Aligned_pair2_d	75	0.073	0.286	0.364	0.286	0.364	1.069	0.134	0.172	3.72E-04	5.45E-04	0.009	0.003	0.003	0.005	0.312	0.375	1.768	1.052	0.478	0.459	0.086
Aligned_pair2_d	76	0.08	0.291	0.359	0.291	0.359	1.449	0.157	0.178	4.85E-04	5.82E-04	0.013	0.003	0.003	0.006	0.331	0.375	1.768	1.134	0.265	0.254	0.042
Aligned_pair2_d	77	0.082	0.278	0.354	0.278	0.354	0.869	0.163	0.167	4.92E-04	6.63E-04	0.008	0.004	0.003	0.006	0.336	0.384	1.862	1.186	0	0	0
Aligned_pair2_d	78	0.092	0.278	0.348	0.278	0.348	0.943	0.147	0.167	6.40E-04	7.52E-04	0.01	0.005	0.004	0.008	0.345	0.396	1.19	1.156	0.478	0.45	0.097
Aligned_pair2_d	79	0.082	0.283	0.353	0.283	0.353	1.153	0.153	0.18	4.72E-04	6.65E-04	0.011	0.004	0.003	0.006	0.329	0.384	1.862	1.125	0.265	0.257	0.036
Aligned_pair2_d	80	0.089	0.285	0.339	0.285	0.339	-1.353	0.186	0.177	6.31E-04	6.98E-04	0.014	0.004	0.003	0.007	0.338	0.411	0.18	1.156	0.265	0.257	0.036
Aligned_pair2_d	81	0.076	0.28	0.334	0.28	0.334	1.549	0.133	0.181	3.50E-04	6.48E-04	0.013	0.004	0.003	0.005	0.294	0.384	1.862	1.104	0	0	0
Aligned_pair2_d	82	0.074	0.284	0.337	0.284	0.337	1.454	0.124	0.192	2.98E-04	7.19E-04	0.012	0.004	0.002	0.005	0.257	0.43	1.222	1.199	0.265	0.254	0.042
Aligned_pair2_d	83	0.077	0.296	0.329	0.296	0.329	1.438	0.148	0.186	3.64E-04	6.90E-04	0.013	0.004	0.002	0.006	0.294	0.411	1.751	1.104	0.073	0.046	0.015
Aligned_pair2_d	84	0.076	0.29	0.335	0.29	0.335	1.45	0.155	0.178	3.78E-04	6.08E-04	0.012	0.003	0.002	0.005	0.321	0.384	1.862	1.104	0.073	0.046	0.015
Aligned_pair2_d	85	0.077	0.288	0.342	0.288	0.342	1.513	0.142	0.173	3.73E-04	6.69E-04	0.013	0.004	0.003	0.006	0.294	0.397	0.983	1.208	0	0	0
Aligned_pair2_d	86	0.069	0.295	0.333	0.295	0.333	-1.511	0.116	0.184	3.01E-04	5.14E-04	0.011	0.003	0.003	0.004	0.257	0.396	1.19	1.065	0.232	0.221	0.026
Aligned_pair2_d	87	0.078	0.299	0.344	0.299	0.344	-1.205	0.162	0.174	4.07E-04	6.65E-04	0.011	0.004	0.003	0.006	0.331	0.396	1.19	1.134	0.232	0.214	0.043
Aligned_pair2_v	8	0.099	0.307	0.337	0.307	0.337	1.369	0.142	0.222	4.75E-04	0.001	0.016	0.006	0.003	0.008	0.294	0.483	1.723	1.324	0.367	0.36	0.034
Aligned_pair2_v	9	0.1	0.305	0.33	0.305	0.33	1.387	0.139	0.235	4.77E-04	0.001	0.016	0.006	0.003	0.008	0.294	0.526	2.003	1.346	0.232	0.222	0.027
Aligned_pair2_v	10	0.1	0.301	0.314	0.301	0.314	1.438	0.136	0.24	4.47E-04	0.002	0.016	0.006	0.003	0.008	0.294	0.52	1.713	1.346	0.265	0.248	0.026
Aligned_pair2_v	11	0.105	0.296	0.313	0.296	0.313	1.445	0.155	0.245	4.92E-04	0.002	0.017	0.007	0.003	0.009	0.326	0.535	1.849	1.407	0.232	0.222	0.027
Aligned_pair2_v	12	0.099	0.299	0.315	0.299	0.315	1.529	0.142	0.243	4.00E-04	0.002	0.016	0.007	0.003	0.008	0.294	0.535	1.849	1.398	0	NaN	NaN
Aligned_pair2_v	13	0.099	0.295	0.336	0.295	0.336	-1.518	0.147	0.262	4.79E-04	0.001	0.016	0.006	0.003	0.008	0.321	0.52	1.713	1.385	0.232	0.222	0.027
Aligned_pair2_v	14	0.093	0.279	0.326	0.279	0.326	-1.405	0.16	0.221	4.27E-04	0.001	0.015	0.006	0.003	0.007	0.312	0.483	1.723	1.251	0.265	0.242	0.038
Aligned_pair2_v	15	0.09	0.273	0.329	0.273	0.329	-1.47	0.131	0.223	4.18E-04	0.001	0.015	0.005	0.003	0.007	0.294	0.479	1.648	1.26	0.478	0.409	0.111
Aligned_pair2_v	16	0.096	0.281	0.337	0.281	0.337	1.544	0.136	0.229	4.42E-04	0.001	0.016	0.006	0.003	0.008	0.294	0.493	2.034	1.355	0	NaN	NaN
Aligned_pair2_v	17	0.103	0.278	0.337	0.278	0.337	1.476	0.169	0.231	5.58E-04	0.001	0.017	0.006	0.003	0.008	0.331	0.5	1.869	1.355	0	NaN	NaN
Aligned_pair2_v	18	0.09	0.276	0.318	0.276	0.318	-1.57	0.129	0.208	4.24E-04	0.001	0.015	0.005	0.003	0.007	0.294	0.455	1.816	1.177	0.265	0.241	0.044
Aligned_pair2_v	19	0.088	0.286	0.327	0.286	0.327	1.562	0.139	0.224	3.98E-04	0.001	0.015	0.005	0.003	0.006	0.294	0.479	1.648	1.199	0	NaN	NaN
Aligned_pair2_v	20	0.086	0.286	0.33	0.286	0.33	1.563	0.139	0.221	3.62E-04	0.001	0.014	0.005	0.003	0.006	0.291	0.483	1.723	1.303	0.232	0.219	0.039
Aligned_pair2_v	21	0.085	0.285	0.327	0.285	0.327	-1.49	0.134	0.219	3.31E-04	0.001	0.014	0.005	0.002	0.006	0.285	0.465	1.249	1.22	0.265	0.241	0.044
Aligned_pair2_v	22	0.09	0.287	0.334	0.287	0.334	1.525	0.141	0.225	3.64E-04	0.001	0.015	0.006	0.003	0.007	0.294	0.5	1.869	1.324	0	NaN	NaN
Aligned_pair2_v	23	0.088	0.284	0.321	0.284	0.321	-1.568	0.137	0.21	3.76E-04	0.001	0.015	0.005	0.003	0.007	0.286	0.455	1.326	1.251	0.232	0.225	0.032
Aligned_pair2_v	24	0.095	0.278	0.315	0.278	0.315	1.511	0.138	0.238	4.05E-04	0.001	0.016	0.006	0.003	0.008	0.294	0.5	1.869	1.355	0.367	0.351	0.067
Aligned_pair2_v	25	0.093	0.274	0.333	0.274	0.333	1.561	0.13	0.223	3.70E-04	0.001	0.016	0.006	0.003	0.008	0.294	0.49	1.798	1.324	0	NaN	NaN
Aligned_pair2_v	26	0.099	0.279	0.34	0.279	0.34	-1.557	0.13	0.23	4.44E-04	0.001	0.016	0.006	0.003	0.008	0.287	0.49	1.798	1.294	0	NaN	NaN
Aligned_pair2_v	27	0.107	0.277	0.331	0.277	0.331	-1.528	0.164	0.223	5.48E-04	0.002	0.018	0.007	0.003	0.01	0.326	0.5	1.869	1.376	0	NaN	NaN
Aligned_pair2_v	28	0.108	0.284	0.343	0.284	0.343	-1.499	0.155	0.233	6.17E-04	0.002	0.018	0.007	0.004	0.009	0.326	0.49	1.798	1.385	0	NaN	NaN
Aligned_pair2_v	29	0.1	0.291	0.304	0.291	0.304	-1.424	0.141	0.218	4.92E-04	0.001	0.016	0.007	0.003	0.009	0.314	0.479	1.004	1.398	0.367	0.351	0.067
Aligned_pair2_v	30	0.096	0.292	0.314	0.292	0.314	1.568	0.148	0.204	4.54E-04	0.001	0.016	0.006	0.003	0.008	0.324	0.478	1.966	1.303	0	NaN	NaN
Aligned_pair2_v	31	0.095	0.288	0.33	0.288	0.33	1.46	0.144	0.226	4.45E-04	0.001	0.016	0.005	0.003	0.007	0.294	0.478	1.966	1.272	0	NaN	NaN
Aligned_pair2_v	32	0.092	0.295	0.33	0.295	0.33	1.434	0.125	0.229	3.90E-04	0.001	0.015	0.006	0.003	0.007	0.257	0.5	1.869	1.324	0.265	0.25	0.021
Aligned_pair2_v	33	0.09	0.293	0.322	0.293	0.322	1.46	0.122	0.219	3.62E-04	0.001	0.015	0.006	0.003	0.008	0.257	0.478	1.966	1.242	0.367	0.33	0.081
Aligned_pair2_v	34	0.084	0.297	0.324	0.297	0.324	1.486	0.123	0.216	3.01E-04	0.001	0.014	0.005	0.002	0.007	0.257	0.465	1.893	1.251	0.367	0.321	0.082
Aligned_pair2_v	35	0.085	0.294	0.339	0.294	0.339	1.514	0.116	0.23	3.22E-04	0.001	0.014	0.005	0.003	0.006	0.257	0.49	1.344	1.264	0	NaN	NaN
Aligned_pair2_v	36	0.084	0.289	0.334	0.289	0.334	1.523	0.114	0.225	3.03E-04	0.001	0.014	0.005	0.003	0.006	0.257	0.483	1.418	1.251	0	NaN	NaN
Aligned_pair2_v	37	0.085	0.289	0.336	0.289	0.336	1.534	0.114	0.227	2.95E-04	0.001	0.014	0.005	0.003	0.007	0.257	0.49	1.344	1.294	0	NaN	NaN
Aligned_pair2_v	38	0.077	0.287	0.347	0.287	0.347	-1.536	0.118	0.235	2.46E-04	0.001	0.013	0.004	0.002	0.005	0.257	0.483	1.723	1.229	0.232	0.216	0.031
Aligned_pair2_v	39	0.074	0.291	0.35	0.291	0.35	1.547	0.113	0.241	2.65E-04	8.83E-04	0.012	0.004	0.002	0.005	0.257	0.483	1.418	1.199	0.265	0.229	0.064
Aligned_pair2_v	40	0.074	0.287	0.357	0.287	0.357	1.534	0.117	0.211	2.43E-04	8.60E-04	0.012	0.004	0.002	0.005	0.257	0.447	1.736	1.117	0.232	0.214	0.037
Aligned_pair2_v	41	0.073	0.283	0.357	0.283	0.357	1.547	0.121	0.211	2.55E-04	7.86E-04	0.012	0.004	0.002	0.005	0.257	0.455	1.816	1.177	0.478	0.387	0.154
Aligned_pair2_v	42	0.076	0.285	0.362	0.285	0.362	-1.558	0.119	0.252	2.71E-04	8.78E-04	0.013	0.003	0.002	0.005	0.257	0.49	1.798	1.242	0.232	0.212	0.048
Aligned_pair2_v	43	0.08	0.287	0.349	0.287	0.349	-1.521	0.12	0.237	2.90E-04	0.001	0.013	0.004	0.002	0.005	0.257	0.479	1.648	1.22	0.367	0.314	0.108
Aligned_pair2_v	44	0.078	0.285	0.333	0.285	0.333	-1.544	0.12	0.223	2.72E-04	9.72E-04	0.013	0.004	0.002	0.006	0.257	0.455	1.816	1.138	0.367	0.296	0.11
Aligned_pair2_v	45	0.081	0.288	0.337	0.288	0.337	-1.52	0.121	0.227	2.91E-04	0.001	0.013	0.005	0.002	0.006	0.257	0.455	1.816	1.199	0.367	0.325	0.077
Aligned_pair2_v	46	0.082	0.287	0.337	0.287	0.337	-1.514	0.138	0.227	3.23E-04	0.001	0.014	0.005	0.002	0.006	0.294	0.483	1.418	1.229	0.367	0.316	0.089
Aligned_pair2_v	47	0.085	0.286	0.335	0.286	0.335	1.526	0.117	0.226	3.24E-04	0.001	0.014	0.005	0.003	0.006	0.257	0.483	1.723	1.199	0.232	0.211	0.04
Aligned_pair2_v	48	0.082	0.278	0.333	0.278	0.333	-1.57	0.131	0.223	3.29E-04	0.001	0.014	0.005	0.003	0.006	0.291	0.455	1.326	1.199	0.265	0.229	0.064
Aligned_pair2_v	49	0.077	0.271	0.33	0.271	0.33	1.53	0.128	0.22	2.85E-04	9.15E-04	0.013	0.004	0.002	0.005	0.276	0.455	1.816	1.199	0.232	0.211	0.04
Aligned_pair2_v	50	0.077	0.277	0.331	0.277	0.331	1.509	0.132	0.222	3.00E-04	8.94E-04	0.013	0.004	0.002	0.005	0.291	0.447	1.406	1.199	0	NaN	NaN
Aligned_pair2_v	51	0.078	0.279	0.328	0.279	0.328	1.491	0.129	0.218	2.98E-04	9.57E-04	0.013	0.004	0.002	0.006	0.281	0.447	1.736	1.251	0	NaN	NaN
Aligned_pair2_v	52	0.073	0.282	0.331	0.282	0.331	1.428	0.107	0.222	2.27E-04	8.78E-04	0.012	0.004	0.002	0.005	0.25	0.455	1.816	1.117	0.232	0.212	0.039
Aligned_pair2_v	53	0.07	0.288	0.323	0.288	0.323	1.437	0.11	0.215	2.28E-04	7.83E-04	0.011	0.004	0.002	0.005	0.257	0.447	1.406	1.177	0	NaN	NaN
Aligned_pair2_v	54	0.077	0.291	0.315	0.291	0.315	1.562	0.113	0.205	2.71E-04	8.87E-04	0.013	0.004	0.002	0.006	0.257	0.455	1.326	1.147	0	NaN	NaN
Aligned_pair2_v	55	0.072	0.291	0.316	0.291	0.316	1.555	0.115	0.206	2.43E-04	7.60E-04	0.012	0.004	0.002	0.005	0.257	0.442	1.654	1.125	0	NaN	NaN
Aligned_pair2_v	56	0.074	0.296	0.323	0.296	0.323	-1.569	0.112	0.213	2.47E-04	9.00E-04	0.012	0.004	0.002	0.005	0.257	0.447	1.736	1.177	0.367	0.296	0.11
Aligned_pair2_v	57	0.072	0.301	0.329	0.301	0.329	-1.511	0.119	0.218	2.54E-04	7.45E-04	0.012	0.003	0.002	0.005	0.257	0.447	1.406	1.208	0.232	0.212	0.039
Aligned_pair2_v	58	0.077	0.296	0.326	0.296	0.326	-1.533	0.113	0.215	2.90E-04	8.18E-04	0.013	0.004	0.003	0.005	0.257	0.447	1.406	1.117	0	NaN	NaN
Aligned_pair2_v	59	0.077	0.296	0.337	0.296	0.337	-1.502	0.118	0.192	3.17E-04	7.67E-04	0.013	0.004	0.003	0.006	0.257	0.419	1.305	1.147	0	NaN	NaN
Aligned_pair2_v	60	0.08	0.291	0.335	0.291	0.335	-1.504	0.142	0.188	3.44E-04	8.04E-04	0.013	0.004	0.002	0.006	0.294	0.419	1.837	1.125	0.265	0.242	0.043
Aligned_pair2_v	61	0.08	0.293	0.339	0.293	0.339	-1.497	0.116	0.192	3.52E-04	7.65E-04	0.013	0.004	0.003	0.006	0.257	0.411	1.751	1.086	0.265	0.259	0.023
Aligned_pair2_v	62	0.08	0.287	0.336	0.287	0.336	-1.451	0.135	0.193	3.73E-04	7.36E-04	0.013	0.004	0.003	0.006	0.294	0.411	1.107	1.147	0.331	0.298	0.072
Aligned_pair2_v	63	0.08	0.28	0.327	0.28	0.327	-1.532	0.131	0.187	3.54E-04	8.01E-04	0.013	0.004	0.003	0.006	0.294	0.411	1.751	1.169	0	NaN	NaN
Aligned_pair2_v	64	0.08	0.278	0.32	0.278	0.32	-1.548	0.13	0.209	3.45E-04	8.38E-04	0.013	0.004	0.003	0.006	0.294	0.43	1.92	1.22	0	NaN	NaN
Aligned_pair2_v	65	0.077	0.278	0.318	0.278	0.318	-1.534	0.132	0.173	3.61E-04	6.93E-04	0.013	0.004	0.003	0.006	0.294	0.411	1.107	1.125	0	NaN	NaN
Aligned_pair2_v	66	0.082	0.278	0.308	0.278	0.308	1.559	0.132	0.199	3.83E-04	9.04E-04	0.014	0.005	0.003	0.006	0.294	0.444	1.144	1.294	0	NaN	NaN
Aligned_pair2_v	67	0.077	0.284	0.316	0.284	0.316	1.52	0.141	0.207	3.47E-04	7.89E-04	0.013	0.004	0.002	0.005	0.294	0.419	1.837	1.229	0	NaN	NaN
Aligned_pair2_v	68	0.078	0.283	0.3	0.283	0.3	-1.486	0.13	0.224	3.48E-04	8.28E-04	0.013	0.004	0.003	0.005	0.294	0.455	1.326	1.272	0.232	0.224	0.027
Aligned_pair2_v	69	0.084	0.279	0.29	0.279	0.29	-1.477	0.136	0.217	3.72E-04	0.001	0.014	0.005	0.003	0.006	0.294	0.465	1.249	1.303	0.265	0.242	0.043
Aligned_pair2_v	70	0.086	0.278	0.308	0.278	0.308	-1.455	0.141	0.23	4.37E-04	9.99E-04	0.014	0.004	0.003	0.006	0.294	0.455	1.816	1.272	0.232	0.216	0.04
Aligned_pair2_v	71	0.095	0.277	0.301	0.277	0.301	-1.468	0.137	0.228	4.74E-04	0.001	0.016	0.005	0.003	0.007	0.294	0.465	1.249	1.281	0.265	0.255	0.025
Aligned_pair2_v	72	0.092	0.278	0.301	0.278	0.301	-1.42	0.14	0.227	4.61E-04	0.001	0.015	0.005	0.003	0.007	0.294	0.465	1.249	1.251	0	NaN	NaN
Aligned_pair2_v	73	0.089	0.283	0.309	0.283	0.309	-1.42	0.14	0.204	4.54E-04	0.001	0.015	0.005	0.003	0.007	0.294	0.444	1.144	1.272	0.265	0.242	0.043
Aligned_pair2_v	74	0.089	0.291	0.31	0.291	0.31	-1.371	0.137	0.211	4.12E-04	0.001	0.014	0.005	0.003	0.007	0.294	0.46	1.071	1.242	0.232	0.224	0.027
Aligned_pair2_v	75	0.085	0.292	0.313	0.292	0.313	-1.385	0.134	0.213	3.70E-04	0.001	0.014	0.005	0.003	0.006	0.294	0.46	1.071	1.22	0	NaN	NaN
Aligned_pair2_v	76	0.077	0.284	0.327	0.284	0.327	-1.32	0.135	0.222	3.17E-04	8.52E-04	0.012	0.004	0.002	0.005	0.294	0.447	1.406	1.177	0.22	0.195	0.037
Aligned_pair2_v	77	0.081	0.281	0.326	0.281	0.326	-1.46	0.136	0.22	3.69E-04	8.64E-04	0.013	0.004	0.003	0.006	0.294	0.447	1.406	1.169	0.22	0.207	0.033
Aligned_pair2_v	78	0.086	0.276	0.323	0.276	0.323	-1.52	0.134	0.213	4.16E-04	9.77E-04	0.014	0.005	0.003	0.007	0.294	0.447	1.406	1.169	0.232	0.226	0.031
Aligned_pair2_v	79	0.086	0.28	0.322	0.28	0.322	-1.488	0.135	0.215	3.81E-04	0.001	0.014	0.005	0.003	0.006	0.294	0.455	1.326	1.229	0.232	0.226	0.031
Aligned_pair2_v	80	0.081	0.287	0.34	0.287	0.34	-1.45	0.133	0.197	3.66E-04	8.78E-04	0.013	0.004	0.003	0.006	0.294	0.43	1.222	1.229	0.265	0.242	0.043
Aligned_pair2_v	81	0.078	0.283	0.345	0.283	0.345	-1.449	0.132	0.198	3.43E-04	8.20E-04	0.013	0.004	0.003	0.006	0.294	0.419	1.837	1.177	0	NaN	NaN
Aligned_pair2_v	82	0.076	0.293	0.353	0.293	0.353	-1.546	0.148	0.169	3.63E-04	6.35E-04	0.013	0.004	0.002	0.005	0.294	0.384	1.862	1.095	0.265	0.255	0.025
Aligned_pair2_v	83	0.072	0.302	0.364	0.302	0.364	-1.375	0.144	0.168	3.74E-04	5.09E-04	0.011	0.003	0.003	0.005	0.294	0.378	2.078	1.065	0.232	0.216	0.04
Aligned_pair2_v	84	0.07	0.322	0.372	0.322	0.372	0.922	0.174	0.189	4.01E-04	4.95E-04	0.007	0.003	0.002	0.005	0.331	0.391	2.29	1.229	0.147	0.1	0.029
Aligned_pair3_d	9	0.117	0.286	0.332	0.286	0.332	1.463	0.163	0.228	7.56E-04	0.002	0.019	0.007	0.005	0.01	0.331	0.5	1.869	1.346	0.588	0.544	0.121
Aligned_pair3_d	10	0.119	0.287	0.327	0.287	0.327	-1.546	0.155	0.225	7.34E-04	0.002	0.02	0.008	0.005	0.011	0.331	0.512	1.938	1.45	0	0	0
Aligned_pair3_d	11	0.107	0.28	0.335	0.28	0.335	-1.557	0.16	0.224	6.14E-04	0.001	0.018	0.006	0.004	0.009	0.331	0.49	1.798	1.346	0.037	0.037	0
Aligned_pair3_d	12	0.103	0.284	0.348	0.284	0.348	-1.428	0.153	0.205	6.03E-04	0.001	0.017	0.006	0.004	0.009	0.325	0.465	1.893	1.272	0	NaN	NaN
Aligned_pair3_d	13	0.109	0.291	0.331	0.291	0.331	-1.348	0.146	0.23	6.70E-04	0.001	0.017	0.006	0.005	0.009	0.325	0.483	1.418	1.272	0.588	0.544	0.121
Aligned_pair3_d	14	0.113	0.283	0.332	0.283	0.332	-1.356	0.142	0.22	6.64E-04	0.002	0.018	0.008	0.005	0.01	0.314	0.494	0.838	1.337	0	NaN	NaN
Aligned_pair3_d	15	0.112	0.28	0.341	0.28	0.341	-1.426	0.138	0.242	6.09E-04	0.002	0.018	0.007	0.004	0.009	0.294	0.52	1.713	1.367	0.588	0.502	0.15
Aligned_pair3_d	16	0.109	0.281	0.343	0.281	0.343	1.547	0.138	0.247	5.93E-04	0.002	0.018	0.007	0.004	0.009	0.294	0.546	1.914	1.441	0	NaN	NaN
Aligned_pair3_d	17	0.101	0.284	0.34	0.284	0.34	1.474	0.142	0.255	4.76E-04	0.002	0.017	0.006	0.003	0.008	0.294	0.535	1.849	1.355	0.232	0.22	0.039
Aligned_pair3_d	18	0.103	0.288	0.352	0.288	0.352	1.473	0.129	0.279	4.70E-04	0.002	0.017	0.006	0.004	0.008	0.257	0.581	1.893	1.441	0	0	0
Aligned_pair3_d	19	0.107	0.288	0.354	0.288	0.354	1.475	0.145	0.245	4.96E-04	0.002	0.018	0.007	0.003	0.009	0.294	0.535	1.849	1.407	0.232	0.22	0.039
Aligned_pair3_d	20	0.099	0.288	0.358	0.288	0.358	1.411	0.13	0.239	4.29E-04	0.002	0.016	0.007	0.003	0.008	0.294	0.512	1.938	1.376	0	NaN	NaN
Aligned_pair3_d	21	0.109	0.292	0.348	0.292	0.348	1.501	0.153	0.279	4.96E-04	0.002	0.018	0.008	0.003	0.01	0.294	0.598	1.756	1.563	0.588	0.502	0.15
Aligned_pair3_d	22	0.116	0.287	0.359	0.287	0.359	1.545	0.153	0.287	5.85E-04	0.002	0.019	0.008	0.004	0.01	0.331	0.57	1.831	1.532	0.294	0.267	0.051
Aligned_pair3_d	23	0.111	0.285	0.366	0.285	0.366	-1.538	0.153	0.256	6.32E-04	0.002	0.018	0.007	0.004	0.009	0.317	0.535	1.849	1.367	0.294	0.284	0.027
Aligned_pair3_d	24	0.111	0.285	0.367	0.285	0.367	1.556	0.14	0.223	6.53E-04	0.002	0.018	0.007	0.005	0.009	0.294	0.512	1.938	1.419	0.367	0.333	0.058
Aligned_pair3_d	25	0.12	0.277	0.355	0.277	0.355	-1.556	0.167	0.245	7.75E-04	0.002	0.02	0.008	0.005	0.011	0.331	0.526	1.782	1.428	0	NaN	NaN
Aligned_pair3_d	26	0.116	0.275	0.355	0.275	0.355	1.532	0.168	0.237	7.48E-04	0.002	0.019	0.007	0.004	0.01	0.331	0.512	1.938	1.428	0	0	0
Aligned_pair3_d	27	0.12	0.277	0.355	0.277	0.355	1.541	0.166	0.271	7.21E-04	0.002	0.02	0.007	0.004	0.01	0.331	0.556	1.703	1.428	0	NaN	NaN
Aligned_pair3_d	28	0.112	0.274	0.36	0.274	0.36	1.523	0.135	0.23	6.44E-04	0.002	0.019	0.007	0.005	0.01	0.294	0.5	1.869	1.367	0.294	0.291	0.01
